#depth	accumulation rate in meters of ice equivalent (from Lucie)	Uncertainty %
542	0.07306	0.2
543	0.07248	0.2
544	0.07248	0.2
545	0.07248	0.2
546	0.07246	0.2
547	0.07236	0.2
548	0.07236	0.2
549	0.07236	0.2
550	0.07275	0.2
551	0.0747	0.2
552	0.0747	0.2
553	0.0747	0.2
554	0.07477	0.2
555	0.07519	0.2
556	0.07519	0.2
557	0.07519	0.2
558	0.07503	0.2
559	0.07394	0.2
560	0.07394	0.2
561	0.07394	0.2
562	0.07432	0.2
563	0.07696	0.2
564	0.07696	0.2
565	0.07696	0.2
566	0.07708	0.2
567	0.0782	0.2
568	0.0782	0.2
569	0.0782	0.2
570	0.07824	0.2
571	0.07888	0.2
572	0.07888	0.2
573	0.07888	0.2
574	0.07885	0.2
575	0.07467	0.2
576	0.07467	0.2
577	0.07467	0.2
578	0.07471	0.2
579	0.07607	0.2
580	0.07607	0.2
581	0.07607	0.2
582	0.07607	0.2
583	0.07601	0.2
584	0.07601	0.2
585	0.07601	0.2
586	0.07604	0.2
587	0.07652	0.2
588	0.07652	0.2
589	0.07652	0.2
590	0.07624	0.2
591	0.07304	0.2
592	0.07304	0.2
593	0.07304	0.2
594	0.07359	0.2
595	0.07713	0.2
596	0.07713	0.2
597	0.07713	0.2
598	0.07708	0.2
599	0.07684	0.2
600	0.07684	0.2
601	0.07684	0.2
602	0.07627	0.2
603	0.07375	0.2
604	0.07375	0.2
605	0.07374	0.2
606	0.07355	0.2
607	0.07355	0.2
608	0.07355	0.2
609	0.07363	0.2
610	0.07422	0.2
611	0.07422	0.2
612	0.07422	0.2
613	0.07428	0.2
614	0.07453	0.2
615	0.07453	0.2
616	0.07453	0.2
617	0.0746	0.2
618	0.0746	0.2
619	0.0746	0.2
620	0.07441	0.2
621	0.07341	0.2
622	0.07341	0.2
623	0.07349	0.2
624	0.07672	0.2
625	0.07672	0.2
626	0.07672	0.2
627	0.07683	0.2
628	0.07767	0.2
629	0.07767	0.2
630	0.07767	0.2
631	0.07595	0.2
632	0.06891	0.2
633	0.06891	0.2
634	0.06985	0.2
635	0.07548	0.2
636	0.07548	0.2
637	0.07548	0.2
638	0.07541	0.2
639	0.07515	0.2
640	0.07515	0.2
641	0.07501	0.2
642	0.07416	0.2
643	0.07416	0.2
644	0.07426	0.2
645	0.07731	0.2
646	0.07731	0.2
647	0.07731	0.2
648	0.07659	0.2
649	0.07282	0.2
650	0.07282	0.2
651	0.07302	0.2
652	0.07503	0.2
653	0.07503	0.2
654	0.07503	0.2
655	0.07402	0.2
656	0.07052	0.2
657	0.07052	0.2
658	0.0716	0.2
659	0.07622	0.2
660	0.07622	0.2
661	0.07635	0.2
662	0.07742	0.2
663	0.07742	0.2
664	0.07742	0.2
665	0.07711	0.2
666	0.07602	0.2
667	0.07602	0.2
668	0.07622	0.2
669	0.0772	0.2
670	0.0772	0.2
671	0.07711	0.2
672	0.07623	0.2
673	0.07623	0.2
674	0.07623	0.2
675	0.07593	0.2
676	0.07493	0.2
677	0.07493	0.2
678	0.07533	0.2
679	0.07695	0.2
680	0.07695	0.2
681	0.07606	0.2
682	0.07131	0.2
683	0.07131	0.2
684	0.07074	0.2
685	0.06788	0.2
686	0.06788	0.2
687	0.06875	0.2
688	0.07246	0.2
689	0.07246	0.2
690	0.0716	0.2
691	0.06809	0.2
692	0.06809	0.2
693	0.06827	0.2
694	0.06886	0.2
695	0.06886	0.2
696	0.06767	0.2
697	0.06433	0.2
698	0.06374	0.2
699	0.06	0.2
700	0.06	0.2
701	0.06083	0.2
702	0.06326	0.2
703	0.06292	0.2
704	0.06048	0.2
705	0.06048	0.2
706	0.06021	0.2
707	0.05944	0.2
708	0.05935	0.2
709	0.0589	0.2
710	0.05889	0.2
711	0.05753	0.2
712	0.05753	0.2
713	0.05787	0.2
714	0.05885	0.2
715	0.05838	0.2
716	0.0562	0.2
717	0.05633	0.2
718	0.05791	0.2
719	0.05791	0.2
720	0.0583	0.2
721	0.05934	0.2
722	0.05917	0.2
723	0.05854	0.2
724	0.05852	0.2
725	0.05836	0.2
726	0.05836	0.2
727	0.05805	0.2
728	0.0573	0.2
729	0.05712	0.2
730	0.05659	0.2
731	0.05714	0.2
732	0.05927	0.2
733	0.05915	0.2
734	0.0581	0.2
735	0.0581	0.2
736	0.05772	0.2
737	0.05686	0.2
738	0.05748	0.2
739	0.05921	0.2
740	0.05888	0.2
741	0.0577	0.2
742	0.05759	0.2
743	0.05697	0.2
744	0.05712	0.2
745	0.05916	0.2
746	0.05916	0.2
747	0.05967	0.2
748	0.06096	0.2
749	0.0604	0.2
750	0.05863	0.2
751	0.05897	0.2
752	0.06045	0.2
753	0.06072	0.2
754	0.06447	0.2
755	0.06447	0.2
756	0.06539	0.2
757	0.0683	0.2
758	0.06795	0.2
759	0.06468	0.2
760	0.06468	0.2
761	0.06568	0.2
762	0.0686	0.2
763	0.06853	0.2
764	0.0681	0.2
765	0.0681	0.2
766	0.06779	0.2
767	0.06689	0.2
768	0.06622	0.2
769	0.06301	0.2
770	0.06286	0.2
771	0.05994	0.2
772	0.05994	0.2
773	0.06031	0.2
774	0.06117	0.2
775	0.06089	0.2
776	0.06015	0.2
777	0.05995	0.2
778	0.0593	0.2
779	0.06016	0.2
780	0.06379	0.2
781	0.06356	0.2
782	0.06037	0.2
783	0.06037	0.2
784	0.05899	0.2
785	0.05613	0.2
786	0.0562	0.2
787	0.05634	0.2
788	0.05677	0.2
789	0.05769	0.2
790	0.05752	0.2
791	0.05716	0.2
792	0.05696	0.2
793	0.05654	0.2
794	0.05705	0.2
795	0.0582	0.2
796	0.05753	0.2
797	0.05603	0.2
798	0.05549	0.2
799	0.05435	0.2
800	0.05384	0.2
801	0.05279	0.2
802	0.05185	0.2
803	0.05153	0.2
804	0.05011	0.2
805	0.05036	0.2
806	0.05102	0.2
807	0.05168	0.2
808	0.05314	0.2
809	0.05223	0.2
810	0.05013	0.2
811	0.04684	0.2
812	0.04668	0.2
813	0.04631	0.2
814	0.04647	0.2
815	0.04638	0.2
816	0.04513	0.2
817	0.04557	0.2
818	0.04605	0.2
819	0.04306	0.2
820	0.044	0.2
821	0.04576	0.2
822	0.0429	0.2
823	0.04287	0.2
824	0.04282	0.2
825	0.04286	0.2
826	0.0426	0.2
827	0.04173	0.2
828	0.04019	0.2
829	0.04053	0.2
830	0.04138	0.2
831	0.04208	0.2
832	0.04186	0.2
833	0.04068	0.2
834	0.04036	0.2
835	0.04362	0.2
836	0.04228	0.2
837	0.04005	0.2
838	0.03981	0.2
839	0.04121	0.2
