	#Depth	Thinning	uncertainty %
1.275000000000000000e+02	9.351500000000000368e-01	0.0181428571428571	
1.285000000000000000e+02	9.346499999999999808e-01	0.0182857142857143	
1.295000000000000000e+02	9.341399999999999704e-01	0.0184285714285714	
1.305000000000000000e+02	9.336400000000000254e-01	0.0185714285714285	
1.315000000000000000e+02	9.331300000000000150e-01	0.0187142857142857	
1.325000000000000000e+02	9.326299999999999590e-01	0.0188571428571428	
1.335000000000000000e+02	9.321199999999999486e-01	0.019	
1.345000000000000000e+02	9.316200000000000037e-01	0.0191428571428571	
1.355000000000000000e+02	9.311099999999999932e-01	0.0192857142857142	
1.365000000000000000e+02	9.306100000000000483e-01	0.0194285714285714	
1.375000000000000000e+02	9.301000000000000378e-01	0.0195714285714285	
1.385000000000000000e+02	9.295999999999999819e-01	0.0197142857142857	
1.395000000000000000e+02	9.290899999999999714e-01	0.0198571428571428	
1.405000000000000000e+02	9.285900000000000265e-01	0.02	
1.415000000000000000e+02	9.280800000000000161e-01	0.0201428571428571	
1.425000000000000000e+02	9.275799999999999601e-01	0.0202857142857142	
1.435000000000000000e+02	9.270699999999999497e-01	0.0204285714285714	
1.445000000000000000e+02	9.265700000000000047e-01	0.0205714285714285	
1.455000000000000000e+02	9.260599999999999943e-01	0.0207142857142857	
1.465000000000000000e+02	9.255600000000000493e-01	0.0208571428571428	
1.475000000000000000e+02	9.250500000000000389e-01	0.021	
1.485000000000000000e+02	9.245499999999999829e-01	0.0211428571428571	
1.495000000000000000e+02	9.240399999999999725e-01	0.0212857142857142	
1.505000000000000000e+02	9.235400000000000276e-01	0.0214285714285714	
1.515000000000000000e+02	9.230300000000000171e-01	0.0215714285714285	
1.525000000000000000e+02	9.225299999999999612e-01	0.0217142857142857	
1.535000000000000000e+02	9.220199999999999507e-01	0.0218571428571428	
1.545000000000000000e+02	9.215200000000000058e-01	0.022	
1.555000000000000000e+02	9.210099999999999953e-01	0.0221428571428571	
1.565000000000000000e+02	9.205100000000000504e-01	0.0222857142857142	
1.575000000000000000e+02	9.200000000000000400e-01	0.0224285714285714	
1.585000000000000000e+02	9.194999999999999840e-01	0.0225714285714285	
1.595000000000000000e+02	9.189899999999999736e-01	0.0227142857142857	
1.605000000000000000e+02	9.184900000000000286e-01	0.0228571428571428	
1.615000000000000000e+02	9.179800000000000182e-01	0.023	
1.625000000000000000e+02	9.174799999999999622e-01	0.0231428571428571	
1.635000000000000000e+02	9.169699999999999518e-01	0.0232857142857142	
1.645000000000000000e+02	9.164700000000000069e-01	0.0234285714285714	
1.655000000000000000e+02	9.159599999999999964e-01	0.0235714285714285	
1.665000000000000000e+02	9.154600000000000515e-01	0.0237142857142857	
1.675000000000000000e+02	9.149500000000000410e-01	0.0238571428571428	
1.685000000000000000e+02	9.144499999999999851e-01	0.024	
1.695000000000000000e+02	9.139399999999999746e-01	0.0241428571428571	
1.705000000000000000e+02	9.134400000000000297e-01	0.0242857142857142	
1.715000000000000000e+02	9.129300000000000193e-01	0.0244285714285714	
1.725000000000000000e+02	9.124299999999999633e-01	0.0245714285714285	
1.735000000000000000e+02	9.119199999999999529e-01	0.0247142857142857	
1.745000000000000000e+02	9.114200000000000079e-01	0.0248571428571428	
1.755000000000000000e+02	9.109099999999999975e-01	0.0249999999999999	
1.765000000000000000e+02	9.104100000000000525e-01	0.0251428571428571	
1.775000000000000000e+02	9.099000000000000421e-01	0.0252857142857142	
1.785000000000000000e+02	9.093999999999999861e-01	0.0254285714285714	
1.795000000000000000e+02	9.088899999999999757e-01	0.0255714285714285	
1.805000000000000000e+02	9.083900000000000308e-01	0.0257142857142857	
1.815000000000000000e+02	9.078800000000000203e-01	0.0258571428571428	
1.825000000000000000e+02	9.073700000000000099e-01	0.0259999999999999	
1.835000000000000000e+02	9.068699999999999539e-01	0.0261428571428571	
1.845000000000000000e+02	9.063600000000000545e-01	0.0262857142857142	
1.855000000000000000e+02	9.058599999999999985e-01	0.0264285714285714	
1.865000000000000000e+02	9.053499999999999881e-01	0.0265714285714285	
1.875000000000000000e+02	9.048500000000000432e-01	0.0267142857142857	
1.885000000000000000e+02	9.043400000000000327e-01	0.0268571428571428	
1.895000000000000000e+02	9.038399999999999768e-01	0.0269999999999999	
1.905000000000000000e+02	9.033299999999999663e-01	0.0271428571428571	
1.915000000000000000e+02	9.028300000000000214e-01	0.0272857142857142	
1.925000000000000000e+02	9.023200000000000109e-01	0.0274285714285714	
1.935000000000000000e+02	9.018199999999999550e-01	0.0275714285714285	
1.945000000000000000e+02	9.013099999999999445e-01	0.0277142857142857	
1.955000000000000000e+02	9.008099999999999996e-01	0.0278571428571428	
1.965000000000000000e+02	9.002999999999999892e-01	0.0279999999999999	
1.975000000000000000e+02	8.998000000000000442e-01	0.0281428571428571	
1.985000000000000000e+02	8.992900000000000338e-01	0.0282857142857142	
1.995000000000000000e+02	8.987899999999999778e-01	0.0284285714285714	
2.005000000000000000e+02	8.982799999999999674e-01	0.0285714285714285	
2.015000000000000000e+02	8.979000000000000314e-01	0.0287142857142857	
2.025000000000000000e+02	8.975199999999999845e-01	0.0288571428571428	
2.035000000000000000e+02	8.971299999999999830e-01	0.0289999999999999	
2.045000000000000000e+02	8.967500000000000471e-01	0.0291428571428571	
2.055000000000000000e+02	8.963700000000000001e-01	0.0292857142857142	
2.065000000000000000e+02	8.959799999999999986e-01	0.0294285714285714	
2.075000000000000000e+02	8.955999999999999517e-01	0.0295714285714285	
2.085000000000000000e+02	8.952200000000000157e-01	0.0297142857142857	
2.095000000000000000e+02	8.948399999999999688e-01	0.0298571428571428	
2.105000000000000000e+02	8.944499999999999673e-01	0.0299999999999999	
2.115000000000000000e+02	8.940700000000000314e-01	0.0301428571428571	
2.125000000000000000e+02	8.936899999999999844e-01	0.0302857142857142	
2.135000000000000000e+02	8.932999999999999829e-01	0.0304285714285714	
2.145000000000000000e+02	8.929200000000000470e-01	0.0305714285714285	
2.155000000000000000e+02	8.925400000000000000e-01	0.0307142857142856	
2.165000000000000000e+02	8.921499999999999986e-01	0.0308571428571428	
2.175000000000000000e+02	8.917699999999999516e-01	0.0309999999999999	
2.185000000000000000e+02	8.913900000000000157e-01	0.0311428571428571	
2.195000000000000000e+02	8.910000000000000142e-01	0.0312857142857142	
2.205000000000000000e+02	8.906199999999999672e-01	0.0314285714285714	
2.215000000000000000e+02	8.902400000000000313e-01	0.0315714285714285	
2.225000000000000000e+02	8.898500000000000298e-01	0.0317142857142857	
2.235000000000000000e+02	8.894699999999999829e-01	0.0318571428571428	
2.245000000000000000e+02	8.890900000000000469e-01	0.032	
2.255000000000000000e+02	8.887000000000000455e-01	0.0321428571428571	
2.265000000000000000e+02	8.883199999999999985e-01	0.0322857142857142	
2.275000000000000000e+02	8.879399999999999515e-01	0.0324285714285714	
2.285000000000000000e+02	8.875499999999999501e-01	0.0325714285714285	
2.295000000000000000e+02	8.871700000000000141e-01	0.0327142857142857	
2.305000000000000000e+02	8.867899999999999672e-01	0.0328571428571428	
2.315000000000000000e+02	8.863999999999999657e-01	0.033	
2.325000000000000000e+02	8.860200000000000298e-01	0.0331428571428571	
2.335000000000000000e+02	8.856399999999999828e-01	0.0332857142857143	
2.345000000000000000e+02	8.852499999999999813e-01	0.0334285714285714	
2.355000000000000000e+02	8.848700000000000454e-01	0.0335714285714286	
2.365000000000000000e+02	8.844899999999999984e-01	0.0337142857142857	
2.375000000000000000e+02	8.841099999999999515e-01	0.0338571428571428	
2.385000000000000000e+02	8.837199999999999500e-01	0.034	
2.395000000000000000e+02	8.833400000000000141e-01	0.0341428571428571	
2.405000000000000000e+02	8.829599999999999671e-01	0.0342857142857143	
2.415000000000000000e+02	8.825699999999999656e-01	0.0344285714285714	
2.425000000000000000e+02	8.821900000000000297e-01	0.0345714285714286	
2.435000000000000000e+02	8.818099999999999827e-01	0.0347142857142857	
2.445000000000000000e+02	8.814199999999999813e-01	0.0348571428571429	
2.455000000000000000e+02	8.810400000000000453e-01	0.035	
2.465000000000000000e+02	8.806599999999999984e-01	0.0351428571428572	
2.475000000000000000e+02	8.802699999999999969e-01	0.0352857142857143	
2.485000000000000000e+02	8.798899999999999499e-01	0.0354285714285715	
2.495000000000000000e+02	8.795100000000000140e-01	0.0355714285714286	
2.505000000000000000e+02	8.791200000000000125e-01	0.0357142857142857	
2.515000000000000000e+02	8.787399999999999656e-01	0.0358571428571429	
2.525000000000000000e+02	8.783600000000000296e-01	0.036	
2.535000000000000000e+02	8.779700000000000282e-01	0.0361428571428572	
