#Depth	Thinning	uncertainty linear 0-1 TEST1
1.755000000000000000e+02	9.270000000000000462e-01	0.061689587426326
1.765000000000000000e+02	9.264099999999999557e-01	0.062082514734774
1.775000000000000000e+02	9.258199999999999763e-01	0.0624754420432219
1.785000000000000000e+02	9.252200000000000424e-01	0.0628683693516698
1.795000000000000000e+02	9.246400000000000174e-01	0.0632612966601178
1.805000000000000000e+02	9.240599999999999925e-01	0.0636542239685657
1.815000000000000000e+02	9.234499999999999931e-01	0.0640471512770136
1.825000000000000000e+02	9.229000000000000536e-01	0.0644400785854616
1.835000000000000000e+02	9.223400000000000487e-01	0.0648330058939095
1.845000000000000000e+02	9.217699999999999783e-01	0.0652259332023574
1.855000000000000000e+02	9.212299999999999933e-01	0.0656188605108054
1.865000000000000000e+02	9.206999999999999629e-01	0.0660117878192533
1.875000000000000000e+02	9.201700000000000434e-01	0.0664047151277012
1.885000000000000000e+02	9.196499999999999675e-01	0.0667976424361492
1.895000000000000000e+02	9.191399999999999570e-01	0.0671905697445971
1.905000000000000000e+02	9.186299999999999466e-01	0.067583497053045
1.915000000000000000e+02	9.181300000000000017e-01	0.067976424361493
1.925000000000000000e+02	9.176400000000000112e-01	0.0683693516699409
1.935000000000000000e+02	9.171399999999999553e-01	0.0687622789783889
1.945000000000000000e+02	9.166499999999999648e-01	0.0691552062868368
1.955000000000000000e+02	9.161500000000000199e-01	0.0695481335952847
1.965000000000000000e+02	9.156499999999999639e-01	0.0699410609037327
1.975000000000000000e+02	9.151500000000000190e-01	0.0703339882121806
1.985000000000000000e+02	9.146400000000000086e-01	0.0707269155206285
1.995000000000000000e+02	9.141200000000000436e-01	0.0711198428290765
2.005000000000000000e+02	9.135999999999999677e-01	0.0715127701375244
2.015000000000000000e+02	9.130700000000000482e-01	0.0719056974459723
2.025000000000000000e+02	9.125299999999999523e-01	0.0722986247544203
2.035000000000000000e+02	9.119899999999999674e-01	0.0726915520628682
2.045000000000000000e+02	9.114400000000000279e-01	0.0730844793713161
2.055000000000000000e+02	9.108899999999999775e-01	0.0734774066797641
2.065000000000000000e+02	9.103299999999999725e-01	0.073870333988212
2.075000000000000000e+02	9.097800000000000331e-01	0.0742632612966599
2.085000000000000000e+02	9.092200000000000282e-01	0.0746561886051079
2.095000000000000000e+02	9.086600000000000232e-01	0.0750491159135558
2.105000000000000000e+02	9.081200000000000383e-01	0.0754420432220037
2.115000000000000000e+02	9.075800000000000534e-01	0.0758349705304517
2.125000000000000000e+02	9.070500000000000229e-01	0.0762278978388996
2.135000000000000000e+02	9.065299999999999470e-01	0.0766208251473476
2.145000000000000000e+02	9.060099999999999820e-01	0.0770137524557955
2.155000000000000000e+02	9.055100000000000371e-01	0.0774066797642434
2.165000000000000000e+02	9.050300000000000011e-01	0.0777996070726914
2.175000000000000000e+02	9.045400000000000107e-01	0.0781925343811393
2.185000000000000000e+02	9.040700000000000403e-01	0.0785854616895872
2.195000000000000000e+02	9.036100000000000243e-01	0.0789783889980352
2.205000000000000000e+02	9.031500000000000083e-01	0.0793713163064831
2.215000000000000000e+02	9.026999999999999469e-01	0.079764243614931
2.225000000000000000e+02	9.022499999999999964e-01	0.080157170923379
2.235000000000000000e+02	9.017899999999999805e-01	0.0805500982318269
2.245000000000000000e+02	9.013299999999999645e-01	0.0809430255402748
2.255000000000000000e+02	9.008699999999999486e-01	0.0813359528487228
2.265000000000000000e+02	9.003999999999999782e-01	0.0817288801571707
2.275000000000000000e+02	8.999099999999999877e-01	0.0821218074656186
2.285000000000000000e+02	8.994299999999999518e-01	0.0825147347740666
2.295000000000000000e+02	8.989200000000000523e-01	0.0829076620825145
2.305000000000000000e+02	8.983999999999999764e-01	0.0833005893909625
2.315000000000000000e+02	8.978800000000000114e-01	0.0836935166994104
2.325000000000000000e+02	8.973299999999999610e-01	0.0840864440078583
2.335000000000000000e+02	8.967800000000000216e-01	0.0844793713163063
2.345000000000000000e+02	8.962299999999999711e-01	0.0848722986247542
2.355000000000000000e+02	8.956600000000000117e-01	0.0852652259332021
2.365000000000000000e+02	8.951000000000000068e-01	0.0856581532416501
2.375000000000000000e+02	8.945300000000000473e-01	0.086051080550098
2.385000000000000000e+02	8.939700000000000424e-01	0.0864440078585459
2.395000000000000000e+02	8.934100000000000374e-01	0.0868369351669939
2.405000000000000000e+02	8.928599999999999870e-01	0.0872298624754418
2.415000000000000000e+02	8.923200000000000021e-01	0.0876227897838897
2.425000000000000000e+02	8.917699999999999516e-01	0.0880157170923377
2.435000000000000000e+02	8.912600000000000522e-01	0.0884086444007856
2.445000000000000000e+02	8.907399999999999762e-01	0.0888015717092335
2.455000000000000000e+02	8.902400000000000313e-01	0.0891944990176815
2.465000000000000000e+02	8.897500000000000409e-01	0.0895874263261294
2.475000000000000000e+02	8.892700000000000049e-01	0.0899803536345773
2.485000000000000000e+02	8.887899999999999689e-01	0.0903732809430253
2.495000000000000000e+02	8.883299999999999530e-01	0.0907662082514732
2.505000000000000000e+02	8.878700000000000481e-01	0.0911591355599212
2.515000000000000000e+02	8.874199999999999866e-01	0.0915520628683691
2.525000000000000000e+02	8.869700000000000362e-01	0.091944990176817
2.535000000000000000e+02	8.865300000000000402e-01	0.092337917485265
2.545000000000000000e+02	8.860799999999999788e-01	0.0927308447937129
2.555000000000000000e+02	8.856399999999999828e-01	0.0931237721021608
2.565000000000000000e+02	8.851900000000000324e-01	0.0935166994106088
2.575000000000000000e+02	8.847399999999999709e-01	0.0939096267190567
2.585000000000000000e+02	8.842900000000000205e-01	0.0943025540275046
2.595000000000000000e+02	8.838300000000000045e-01	0.0946954813359526
2.605000000000000000e+02	8.833699999999999886e-01	0.0950884086444005
2.615000000000000000e+02	8.829099999999999726e-01	0.0954813359528484
2.625000000000000000e+02	8.824400000000000022e-01	0.0958742632612964
2.635000000000000000e+02	8.819700000000000317e-01	0.0962671905697443
2.645000000000000000e+02	8.814999999999999503e-01	0.0966601178781922
2.655000000000000000e+02	8.810200000000000253e-01	0.0970530451866402
2.665000000000000000e+02	8.805399999999999894e-01	0.0974459724950881
2.675000000000000000e+02	8.800700000000000189e-01	0.0978388998035361
2.685000000000000000e+02	8.795899999999999830e-01	0.098231827111984
2.695000000000000000e+02	8.791200000000000125e-01	0.0986247544204319
2.705000000000000000e+02	8.786500000000000421e-01	0.0990176817288799
2.715000000000000000e+02	8.781799999999999606e-01	0.0994106090373278
2.725000000000000000e+02	8.777199999999999447e-01	0.0998035363457757
2.735000000000000000e+02	8.772600000000000398e-01	0.100196463654224
2.745000000000000000e+02	8.768099999999999783e-01	0.100589390962672
2.755000000000000000e+02	8.763499999999999623e-01	0.10098231827112
2.765000000000000000e+02	8.759099999999999664e-01	0.101375245579567
2.775000000000000000e+02	8.754600000000000160e-01	0.101768172888015
2.785000000000000000e+02	8.750099999999999545e-01	0.102161100196463
2.795000000000000000e+02	8.745600000000000041e-01	0.102554027504911
2.805000000000000000e+02	8.741100000000000536e-01	0.102946954813359
2.815000000000000000e+02	8.736500000000000377e-01	0.103339882121807
2.825000000000000000e+02	8.731900000000000217e-01	0.103732809430255
2.835000000000000000e+02	8.727300000000000058e-01	0.104125736738703
2.845000000000000000e+02	8.722699999999999898e-01	0.104518664047151
2.855000000000000000e+02	8.717899999999999539e-01	0.104911591355599
